symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
ACTG,2026-05-07,DEEP_DRAWDOWN,0.8074135053645732,True,False,0.391322303336741,-1.1413567180655009,-2.0
ACTG,2026-07-07,DEEP_DRAWDOWN,0.8257853076255758,True,False,0.24352291928800002,-1.3637283480127775,-2.0
ACTG,2026-04-10,DEEP_DRAWDOWN,0.7068132730272053,True,False,0.8613547991854722,-0.2673170066437676,6.0
ACTG,2026-05-29,TIMEOUT,0.571294328364781,True,False,1.0803493691598096,-0.5617816719631045,2.0
ACTG,2026-07-29,TIMEOUT,0.5138965023694132,True,False,,,
ACTG,2026-07-22,DEEP_DRAWDOWN,0.8598465820448592,True,False,1.3252372325371287,-0.7768632052803878,2.0
ACTU,2024-12-31,WIN,0.848322858737731,True,True,1.62336424780242,0.0,3.0
ACTU,2025-01-10,DEEP_DRAWDOWN,0.29048550753202984,False,False,1.6498394368281701,-1.722200815636419,-3.0
ACTU,2025-02-10,DEEP_DRAWDOWN,0.09911817162885711,False,False,-1.162099731719449,-3.7076515250096733,-1.0
ACTU,2025-05-13,WIN,0.4777492419300608,False,True,2.5715687154018507,0.17811731362090769,1.0
ACTU,2025-06-02,DEEP_DRAWDOWN,0.7956450573562955,True,False,-0.3325814671574903,-3.041903663025825,-2.0
ACTU,2025-08-18,DEEP_DRAWDOWN,0.5110829577227354,True,False,0.2167272190632963,-1.0836360953164836,-2.0
ACTU,2025-09-05,DEEP_DRAWDOWN,0.48087362443129983,False,False,0.10202619693354975,-5.800918054222103,-1.0
ACTU,2025-09-18,WIN,0.8168908609910297,True,True,0.9425626088343739,-0.5953027003164474,14.0
ACTU,2025-10-17,DEEP_DRAWDOWN,0.8373983846402517,True,False,0.18418988700456307,-0.7367595480182468,-7.0
ACTU,2025-12-03,DEEP_DRAWDOWN,0.8061969164407372,True,False,1.2616742070937337,-0.5499605518100893,5.0
ACV,2021-02-23,DEEP_DRAWDOWN,0.013042474825319648,False,False,2.147955229156917,-0.9075867165451773,2.0
ACV,2021-05-05,DEEP_DRAWDOWN,0.14134695524750543,False,False,0.36144668251455914,-1.8795227490757282,-4.0
ACV,2021-10-05,WIN,0.31605142603541164,False,True,4.481376649555874,0.09053286160718726,1.0
ACV,2021-08-19,WIN,0.6994707486472209,True,True,6.125805657318683,3.032273800372754,1.0
ACV,2021-10-28,WIN,0.6763624590488438,True,True,2.7591401411358385,0.05109518779881955,2.0
