timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-07-02 09:45:00 AM ET,287.73,289.595,287.73,289.19,2730,289.7973076923077,0.2287457110179191,8.082951480091836,3572.892313965557
2026-07-02 10:00:00 AM ET,289.0,290.455,288.59,290.455,6336,289.825,0.4374286801064997,8.112770437889816,3589.683458955724
2026-07-02 10:15:00 AM ET,290.35,290.67,285.37,285.505,11302,289.6511538461539,-1.7042226850975115,8.044463554856708,3603.034501648239
2026-07-02 10:30:00 AM ET,286.84,286.84,283.575,284.35,9480,289.47615384615386,-0.4045463301868501,7.968183705685378,3615.675992208934
2026-07-02 10:45:00 AM ET,284.53,285.68,284.53,285.68,7516,289.35692307692307,0.4677334271144584,7.926872028788921,3628.9942481678736
2026-07-02 11:00:00 AM ET,285.58,285.6,283.01,285.47,5501,289.1546153846154,-0.073508821058521,7.851937809650478,3642.0160139953873
2026-07-02 11:15:00 AM ET,284.795,285.76,284.615,285.76,1319,288.93115384615385,0.1015868567625144,7.768501222613505,3655.528547238478
2026-07-02 11:30:00 AM ET,286.14,286.78,286.14,286.4,2966,288.74384615384616,0.2239641657334701,7.721104230344304,3669.5369748199428
2026-07-02 11:45:00 AM ET,286.38,286.56,285.78,286.55,2527,288.4659615384616,0.0523743016759947,7.629449479617238,3683.716087789829
2026-07-02 12:00:00 PM ET,287.11,288.425,286.46,288.245,4805,288.2544230769231,0.5915198045716163,7.566240496350423,3699.708801794633
2026-07-02 12:15:00 PM ET,287.92,288.06,287.04,287.205,1787,288.04153846153844,-0.3608041770022052,7.518419960851083,3714.7996755444005
2026-07-02 12:30:00 PM ET,286.905,286.905,285.795,286.69,1591,287.82461538461536,-0.1793144269772395,7.459296224127686,3729.216614033495
2026-07-02 12:45:00 PM ET,286.54,287.345,286.335,287.25,1672,287.65384615384613,0.195332938016679,7.431693962721433,3744.5305461485545
2026-07-02 01:00:00 PM ET,287.215,287.39,286.11,287.39,3732,287.5248076923077,0.0487380330722375,7.439818912554325,3760.049198254472
2026-07-02 01:15:00 PM ET,287.19,287.66,286.765,287.52,3967,287.4025,0.0452346984933349,7.452418355245896,3776.030854273428
2026-07-02 01:30:00 PM ET,287.535,287.7,287.0,287.45,4053,287.31442307692305,-0.0243461324429539,7.587817831768421,3792.497482060913
2026-07-02 01:45:00 PM ET,286.425,286.425,284.615,285.62,7367,287.19365384615384,-0.6366324578187421,7.707355156604072,3807.6597678440294
2026-07-02 02:00:00 PM ET,285.62,287.48,285.53,287.37,10137,287.16846153846154,0.6127021917232689,7.87059403188044,3829.887942058296
2026-07-02 02:15:00 PM ET,287.305,287.97,286.93,287.97,3062,287.1467307692308,0.2087900615930671,8.034702338145397,3853.2417300333336
2026-07-02 02:30:00 PM ET,287.795,287.91,287.205,287.6,3518,287.1403846153846,-0.1284856061395278,8.184717500403236,3876.148758590014
2026-07-02 02:45:00 PM ET,286.89,287.225,286.58,287.19,5430,287.11288461538464,-0.1425591098748402,8.318821693874746,3898.6204957715436
2026-07-02 03:00:00 PM ET,287.08,287.715,286.74,287.715,3252,287.1240384615384,0.1828058080016736,8.477868275851034,3920.9449063288566
2026-07-02 03:15:00 PM ET,287.755,287.94,287.33,287.78,1987,287.14557692307693,0.0225918009141068,8.650432918088866,3943.0602639330104
2026-07-02 03:30:00 PM ET,287.67,288.36,287.525,288.29,7441,287.1328846153846,0.1772187087358601,8.815254265212067,3965.4655657366156
2026-07-02 03:45:00 PM ET,288.25,289.25,288.075,289.22,24269,287.2459615384616,0.3225918346109857,9.029522088417869,3988.5185891216133
2026-07-06 09:30:00 AM ET,288.205,292.42,288.205,292.4,31452,287.3948076923077,1.0995090242721606,9.26774716153029,4014.2050145341054
2026-07-06 09:45:00 AM ET,292.61,296.26,292.51,295.35,11699,287.6317307692307,1.0088919288645748,9.541218509904478,4040.829408523296
2026-07-06 10:00:00 AM ET,295.81,296.425,294.23,295.91,31461,287.84153846153845,0.1896055527340401,9.804258879764074,4068.2681243380557
2026-07-06 10:15:00 AM ET,295.91,297.1,295.58,296.79,7821,288.2755769230769,0.2973877192389507,10.167588491370749,4095.3828765181897
2026-07-06 10:30:00 AM ET,297.135,298.05,295.77,295.77,12682,288.7148076923077,-0.343677347619542,10.528988771771235,4121.983679275184
2026-07-06 10:45:00 AM ET,295.5,296.895,295.5,296.51,8055,289.1313461538461,0.2501944078168838,10.867945618552026,4148.641650329974
2026-07-06 11:00:00 AM ET,297.25,297.25,296.59,296.8,6809,289.56711538461536,0.0978044585342896,11.204219975059786,4175.157809446908
2026-07-06 11:15:00 AM ET,297.255,299.02,296.42,299.0,9317,290.0763461538462,0.7412398921832875,11.542631941570631,4202.979845744064
2026-07-06 11:30:00 AM ET,299.25,299.8,298.555,299.51,16799,290.5805769230769,0.1705685618728969,11.861453832329031,4230.731269734045
2026-07-06 11:45:00 AM ET,299.58,300.645,299.495,299.88,39143,291.0932692307692,0.1235351073419988,12.195101408443268,4258.572919384862
2026-07-06 12:00:00 PM ET,299.805,300.09,298.53,298.79,12528,291.4988461538461,-0.3634787248232518,12.521867148206734,4285.575002017375
2026-07-06 12:15:00 PM ET,298.95,299.065,298.02,298.585,7203,291.9365384615384,-0.0686100605776784,12.844263556663224,4312.825589359841
2026-07-06 12:30:00 PM ET,298.45,298.97,298.205,298.87,8069,292.40500000000003,0.0954502068087892,13.176921559039087,4340.543588331815
2026-07-06 12:45:00 PM ET,298.85,299.285,298.78,299.25,5454,292.8665384615385,0.1271455816910238,13.477370674419488,4368.3008474101725
2026-07-06 01:00:00 PM ET,299.13,300.11,299.125,300.11,2456,293.3557692307692,0.2873851294904028,13.764201311106705,4396.81182425236
2026-07-06 01:15:00 PM ET,300.3,300.3,299.57,299.845,5579,293.8298076923077,-0.0883009563160119,14.07374907484353,4424.271564399907
2026-07-06 01:30:00 PM ET,299.52,299.52,298.36,298.37,4962,294.2498076923077,-0.4919208257599838,14.225163799491275,4450.76816354431
2026-07-06 01:45:00 PM ET,298.505,298.505,297.605,297.63,3020,294.7117307692308,-0.2480142105439564,14.35573401593812,4477.6194669465385
2026-07-06 02:00:00 PM ET,297.91,298.18,297.78,298.11,4732,295.1248076923077,0.161274065114414,14.45740655230726,4505.2956345619805
